First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg
Tom,Aaron,,--,155 lbs.,--,,5,3,0,0,0,0%,0,0%,0,0%,0%,0
Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,0,3.29,38%,4.41,57%,0,0%,77%,0
Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0,0,3,20%,5.67,46%,0,0%,66%,0
David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,0,1.35,30%,3.55,38%,1.07,33%,66%,0
Hamdy,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,5,0,0,0,3.87,52%,3.13,59%,3,75%,0%,0
Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0,0,2.41,44%,3.02,55%,1.01,23%,45%,0.1
Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,0,1.71,36%,3.11,63%,0,0%,33%,0
Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,0,3.8,33%,4.49,56%,0.33,50%,0%,0
Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,0,2.8,55%,3.15,48%,3.47,57%,50%,1.3
Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,0,3.79,31%,3.98,68%,2.13,42%,100%,0.7
Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,0,2.05,40%,2.9,55%,0.64,20%,80%,0
Cyborg,Abreu,,--,--,--,,0,0,0,0,0,0%,0,0%,0,0%,0%,0
Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,0,3.52,36%,2.85,62%,0.33,20%,81%,0
John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0,0,3.9,52%,6.28,44%,0,0%,0%,0
Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,0,0,0%,0,0%,0,0%,0%,0
Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,0,7.09,55%,4.06,34%,0.91,66%,57%,0
Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,0,3.17,41%,5.93,44%,0,0%,0%,0
Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0,0,3.65,40%,3.04,64%,0,0%,100%,0.5
Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,3,0,0,3.93,48%,3.11,56%,0.05,14%,77%,0.1
Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,0,0,0%,0,0%,0,0%,0%,0
Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,0,0.69,11%,4.56,42%,0,0%,0%,0
Mariya,Agapova,Demonslayer,"5' 6""",125 lbs.,"68.0""",Southpaw,10,4,0,0,4.67,55%,3.82,52%,0.59,66%,47%,0.9
Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,0,0,0%,0,0%,0,0%,0%,0
Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,0,0,0%,0,0%,0,0%,0%,0
Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,0,0,0%,0,0%,0,0%,0%,0
