First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,11,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg
Luke,Zachrich,,"6' 2""",185 lbs.,"74.0""",Orthodox,14,4,0,,0,4.56,32%,4.46,62%,,,,
Luke,Zachrich,,"6' 2""",185 lbs.,"74.0""",Orthodox,14,4,0,,0,,,,,0.74,33%,80%,0.0
Anton,Zafir,The Professor,"5' 11""",170 lbs.,--,Orthodox,7,3,0,,0,2.99,64%,2.31,52%,,,,
Anton,Zafir,The Professor,"5' 11""",170 lbs.,--,Orthodox,7,3,0,,0,,,,,6.11,60%,0%,0.0
Aiemann,Zahabi,,"5' 8""",135 lbs.,"68.0""",Orthodox,10,2,0,,0,3.04,43%,3.40,72%,,,,
Aiemann,Zahabi,,"5' 8""",135 lbs.,"68.0""",Orthodox,10,2,0,,0,,,,,0.25,16%,75%,0.0
Joao,Zaiden,,--,205 lbs.,--,,10,3,0,,0,0.00,0%,0.00,0%,,,,
Joao,Zaiden,,--,205 lbs.,--,,10,3,0,,0,,,,,0.00,0%,0%,0.0
Youssef,Zalal,The Moroccan Devil,"5' 10""",135 lbs.,"72.0""",Switch,10,5,1,,0,2.75,48%,1.75,64%,,,,
Youssef,Zalal,The Moroccan Devil,"5' 10""",135 lbs.,"72.0""",Switch,10,5,1,,0,,,,,2.14,31%,60%,1.1
Elizeu,Zaleski dos Santos,Capoeira,"5' 11""",170 lbs.,"73.0""",Orthodox,24,7,1,,0,4.52,42%,3.33,57%,,,,
Elizeu,Zaleski dos Santos,Capoeira,"5' 11""",170 lbs.,"73.0""",Orthodox,24,7,1,,0,,,,,0.43,13%,68%,0.4
Zach,Zane,The Hurricane,"5' 7""",145 lbs.,"69.0""",Southpaw,10,7,0,,0,0.87,56%,6.67,20%,,,,
Zach,Zane,The Hurricane,"5' 7""",145 lbs.,"69.0""",Southpaw,10,7,0,,0,,,,,0.00,0%,26%,0.0
