TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Team,Player,G,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,CP
,,,,,,,,,,,,,,,,,,,
BilliBilli Gaming,Bin,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,288.38,FALSE,FALSE,FALSE,"14,700",436.4,FALSE,32%,22.60%,FALSE
BilliBilli Gaming,Elk,,,,,,,,,324.75,,,,"27,600",817.8,,26.20%,24.30%,
BilliBilli Gaming,ON,,,,,,,,,44.13,,,,"5,000",146.8,,3.90%,13.70%,
BilliBilli Gaming,XUN,,,,,,,,,179.5,,,,"13,200",392.4,,17.50%,18.10%,
BilliBilli Gaming,Yagao,,,,,,,,,275,,,,"21,200",626.8,,20.40%,21.30%,
⁠⁠Cloud9,Berserker,,,,,,,,,314.17,,,,"14,300",462.4,,27.10%,23.90%,
⁠⁠Cloud9,Blaber,,,,,,,,,194,,,,"12,000",388.4,,21.40%,20.60%,
⁠⁠Cloud9,EMENES,,,,,,,,,250,,,,"15,300",491.8,,21.40%,21%,
⁠⁠Cloud9,Fudge,,,,,,,,,253.83,,,,"15,900",512.9,,25.70%,21.90%,
⁠⁠Cloud9,Zven,,,,,,,,,35.83,,,,"4,300",139.5,,4.30%,12.60%,
⁠⁠Dplus KIA,Canna,,,,,,,,,266,,,,"18,200",574.7,,18.30%,21.20%,
⁠⁠Dplus KIA,Canyon,,,,,,,,,198.63,,,,"7,800",247.4,,19.40%,19.30%,
⁠⁠Dplus KIA,Deft,,,,,,,,,300.5,,,,"22,600",714,,35.50%,24.30%,
⁠⁠Dplus KIA,Kellin,,,,,,,,,33.13,,,,"4,200",134.1,,5.40%,13%,
⁠⁠Dplus KIA,ShowMaker,,,,,,,,,278.13,,,,"18,900",597.2,,21.50%,22.30%,
⁠⁠Fnatic,Humanoid,,,,,,,,,269.78,,,,"19,500",652.5,,18.40%,22.60%,
⁠⁠Fnatic,Noah,,,,,,,,,285.11,,,,"15,800",527.5,,33.30%,23.90%,
⁠⁠Fnatic,Oscarinin,,,,,,,,,236,,,,"14,600",486.6,,21.90%,20.90%,
⁠⁠Fnatic,Razork,,,,,,,,,176.44,,,,"11,800",394.8,,19.30%,19.50%,
⁠⁠Fnatic,Trymbi,,,,,,,,,28.78,,,,"4,000",134.3,,7%,13.10%,
⁠⁠G2 Esports,BrokenBlade,,,,,,,,,264.22,,,,"16,800",484.7,,15.20%,20.80%,
⁠⁠G2 Esports,Caps,,,,,,,,,307.89,,,,"18,900",546.7,,22.80%,23%,
⁠⁠G2 Esports,Hans Sama,,,,,,,,,317.33,,,,"21,500",620.8,,41.30%,24.70%,
⁠⁠G2 Esports,Mikyx,,,,,,,,,39.44,,,,"7,000",203.4,,6.50%,13.10%,
⁠⁠G2 Esports,Yike,,,,,,,,,168.33,,,,"15,000",434,,14.10%,18.40%,
GAM Esports,Kati,,,,,,,,,232.71,,,,"13,500",505.6,,27.60%,23%,
GAM Esports,Kiaya,,,,,,,,,200.29,,,,"13,600",506.7,,25.90%,20.30%,
GAM Esports,Levi,,,,,,,,,147.71,,,,"7,900",296.5,,19%,19.30%,
GAM Esports,Palette,,,,,,,,,37.43,,,,"3,100",116.2,,3.40%,13.20%,
GAM Esports,Slayder,,,,,,,,,273,,,,"8,500",318.5,,24.10%,24.30%,
⁠⁠Gen.G,Chovy,,,,,,,,,263,,,,"19,700",681.4,,29.50%,22.10%,
⁠⁠Gen.G,Delight,,,,,,,,,35.25,,,,"3,700",126.7,,3.80%,13%,
⁠⁠Gen.G,Doran,,,,,,,,,250.75,,,,"19,600",677.6,,17.90%,21.10%,
⁠⁠Gen.G,Peanut,,,,,,,,,180.75,,,,"10,600",367.1,,20.50%,19.50%,
⁠⁠Gen.G,Peyz,,,,,,,,,310.75,,,,"18,900",653.9,,28.20%,24.30%,
⁠⁠JD Gaming,369,,,,,,,,,218.6,,,,"13,500",502.1,,15.60%,19.80%,
⁠⁠JD Gaming,Kanavi,,,,,,,,,174,,,,"10,700",396.7,,23.40%,20.30%,
⁠⁠JD Gaming,knight,,,,,,,,,241.6,,,,"16,700",620.4,,28.10%,22.50%,
⁠⁠JD Gaming,MISSING,,,,,,,,,30.2,,,,"4,200",155.8,,3.10%,13.10%,
⁠⁠JD Gaming,Ruler,,,,,,,,,276.4,,,,"15,500",575,,29.70%,24.30%,
⁠⁠KT Rolster,Aiming,,,,,,,,,386.5,,,,"24,200",675.1,,50.90%,27.60%,
⁠⁠KT Rolster,Bdd,,,,,,,,,313.5,,,,"17,500",488,,18.90%,21.40%,
⁠⁠KT Rolster,Cuzz,,,,,,,,,190.5,,,,"9,400",261.4,,12.30%,17.70%,
⁠⁠KT Rolster,Kiin,,,,,,,,,287.75,,,,"17,300",483,,15.10%,20.80%,
⁠⁠KT Rolster,Lehends,,,,,,,,,40.38,,,,"4,100",115.7,,2.80%,12.40%,
LNG Esports,GALA,,,,,,,,,301.38,,,,"16,500",558.3,,31.60%,24.50%,
LNG Esports,Hang,,,,,,,,,32.75,,,,"3,800",128.7,,2.10%,12.70%,
LNG Esports,Scout,,,,,,,,,257.5,,,,"16,300",551.5,,35.80%,22.50%,
LNG Esports,Tarzan,,,,,,,,,167.63,,,,"8,500",286,,16.80%,18.60%,
LNG Esports,Zika,,,,,,,,,265.38,,,,"14,100",477.5,,13.70%,21.70%,
⁠⁠MAD Lions,Carzzy,,,,,,,,,311.4,,,,"20,700",624.4,,33.30%,24.30%,
⁠⁠MAD Lions,Chasy,,,,,,,,,244,,,,"14,900",449.5,,23.80%,21.70%,
⁠⁠MAD Lions,Elyoya,,,,,,,,,189.8,,,,"8,200",247.3,,15.90%,19%,
⁠⁠MAD Lions,Hylissang,,,,,,,,,31.8,,,,"5,200",156.2,,3.20%,12.90%,
⁠⁠MAD Lions,Nisqy,,,,,,,,,272.2,,,,"18,300",553.5,,23.80%,22.10%,
⁠⁠NRG,Contractz,,,,,,,,,178.4,,,,"14,500",447.3,,23.90%,19.20%,
⁠⁠NRG,Dhokla,,,,,,,,,254.2,,,,"17,200",531.7,,20.70%,21.20%,
⁠⁠NRG,FBI,,,,,,,,,199.2,,,,"21,200",653.1,,30.40%,22.10%,
⁠⁠NRG,IgNar,,,,,,,,,96.6,,,,"5,600",171.7,,2.20%,14.70%,
⁠⁠NRG,Palafox,,,,,,,,,273.6,,,,"18,000",554.1,,22.80%,22.80%,
⁠⁠T1,Faker,,,,,,,,,271.4,,,,"13,800",464.1,,21.50%,21.90%,
⁠⁠T1,Gumayusi,,,,,,,,,264.4,,,,"15,900",535.3,,33.80%,23%,
⁠⁠T1,Keria,,,,,,,,,55.8,,,,"6,400",215.7,,6.20%,14.10%,
⁠⁠T1,Oner,,,,,,,,,172.2,,,,"9,200",308.7,,20%,18.70%,
⁠⁠T1,Zeus,,,,,,,,,275.2,,,,"18,100",610.3,,18.50%,22.30%,
⁠⁠Team BDS,Adam,,,,,,,,,211.5,,,,"7,600",280.4,,29.20%,22.10%,
⁠⁠Team BDS,Crownie,,,,,,,,,268,,,,"8,500",316.1,,20.80%,23.60%,
⁠⁠Team BDS,Labrov,,,,,,,,,31.75,,,,"3,400",125,,4.20%,13.10%,
⁠⁠Team BDS,nuc,,,,,,,,,228.25,,,,"12,200",450.6,,29.20%,22.30%,
⁠⁠Team BDS,Sheo,,,,,,,,,145.25,,,,"4,500",166.7,,16.70%,18.90%,
⁠⁠Team Liquid,APA,,,,,,,,,254,,,,"14,600",466.1,,31.80%,22%,
⁠⁠Team Liquid,CoreJJ,,,,,,,,,40.4,,,,"3,500",111.8,,6.80%,13.30%,
⁠⁠Team Liquid,Pyosik,,,,,,,,,200.4,,,,"10,100",324,,31.80%,20.30%,
⁠⁠Team Liquid,Summit,,,,,,,,,249.8,,,,"10,900",349.5,,13.60%,21.20%,
⁠⁠Team Liquid,Yeon,,,,,,,,,290.8,,,,"13,100",418.6,,15.90%,23.10%,
⁠⁠Weibo Gaming,Crisp,,,,,,,,,34.38,,,,"5,700",181.7,,6.50%,13.70%,
⁠⁠Weibo Gaming,Light,,,,,,,,,295.38,,,,"21,000",671.1,,39.80%,25.30%,
⁠⁠Weibo Gaming,TheShy,,,,,,,,,251.38,,,,"20,700",661,,18.70%,21.10%,
⁠⁠Weibo Gaming,Weiwei,,,,,,,,,155.38,,,,"7,800",248.6,,11.40%,17.30%,
⁠⁠Weibo Gaming,Xiaohu,,,,,,,,,272.5,,,,"18,100",578.1,,23.60%,22.70%,
